heldout_perturbation_ids	source_neighborhood_fraction	source_neighborhood_k	same_cell_line_purity	same_cell_line_coverage	same_batch_purity	same_perturbation_purity	top1_same_cell_line	top1_same_batch	top1_same_perturbation
3,7,8	0.5	14	0.5687830687830688	0.8847736625514403	0.31746031746031744	0.328042328042328	1.0	1.0	0.9629629629629629
3,7,8	0.6666666666666666	18	0.4691358024691358	0.9382716049382716	0.3271604938271605	0.33539094650205764	1.0	1.0	0.9629629629629629
3,7,8	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	0.9629629629629629
4,5,6	0.3333333333333333	9	0.6995884773662552	0.6995884773662552	0.39094650205761317	0.31275720164609055	1.0	1.0	1.0
4,5,6	0.5	14	0.5502645502645502	0.8559670781893004	0.328042328042328	0.3253968253968254	1.0	1.0	1.0
4,5,6	0.6666666666666666	18	0.4691358024691358	0.9382716049382716	0.3292181069958848	0.3230452674897119	1.0	1.0	1.0
4,5,6	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
4,5,7	0.3333333333333333	9	0.6790123456790124	0.6790123456790123	0.41975308641975306	0.3292181069958848	1.0	1.0	1.0
4,5,7	0.5	14	0.5687830687830688	0.8847736625514403	0.3492063492063492	0.32275132275132273	1.0	1.0	1.0
4,5,7	0.6666666666666666	18	0.4773662551440329	0.9547325102880658	0.32510288065843623	0.33539094650205764	1.0	1.0	1.0
4,5,7	1.0	27	0.3333333333333333	1.0	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0
