heldout_perturbation_ids	space	label_col	recall_at_1	recall_at_5	map	median_rank
1,4,7	delta	condition_key	0.2962962962962963	0.8518518518518519	0.3327049290189486	2.0
1,4,7	delta	perturbation_label	0.48148148148148145	0.9629629629629629	0.471204858325672	2.0
1,4,7	delta	cell_line_label	0.48148148148148145	1.0	0.4804038054706315	2.0
1,4,8	endpoint	condition_key	0.48148148148148145	0.6666666666666666	0.4105543206788826	2.0
1,4,8	endpoint	perturbation_label	0.48148148148148145	0.7407407407407407	0.4170729525847025	2.0
1,4,8	endpoint	cell_line_label	1.0	1.0	0.7012116383177948	1.0
1,4,8	delta	condition_key	0.2222222222222222	0.6666666666666666	0.2923545098153988	3.0
1,4,8	delta	perturbation_label	0.3333333333333333	0.7407407407407407	0.40500306613236997	2.0
1,4,8	delta	cell_line_label	0.5555555555555556	1.0	0.48599307716579204	1.0
1,5,6	endpoint	condition_key	0.2962962962962963	0.8518518518518519	0.3718744243669711	2.0
1,5,6	endpoint	perturbation_label	0.2962962962962963	0.9259259259259259	0.39335990612770466	2.0
1,5,6	endpoint	cell_line_label	0.9629629629629629	1.0	0.7409319955309146	1.0
1,5,6	delta	condition_key	0.25925925925925924	0.8518518518518519	0.29132582221901854	4.0
1,5,6	delta	perturbation_label	0.37037037037037035	0.9629629629629629	0.4116163192461118	2.0
1,5,6	delta	cell_line_label	0.5185185185185185	0.9629629629629629	0.4825399654173488	1.0
1,5,7	endpoint	condition_key	0.2222222222222222	0.7037037037037037	0.336294698811587	2.0
1,5,7	endpoint	perturbation_label	0.2222222222222222	0.8518518518518519	0.4041088557667106	2.0
1,5,7	endpoint	cell_line_label	0.9629629629629629	1.0	0.6746208460566564	1.0
1,5,7	delta	condition_key	0.2222222222222222	0.8148148148148148	0.30053153069126504	3.0
1,5,7	delta	perturbation_label	0.2222222222222222	0.9259259259259259	0.4462342454147094	2.0
1,5,7	delta	cell_line_label	0.5185185185185185	1.0	0.48009232961612186	1.0
1,5,8	endpoint	condition_key	0.1111111111111111	0.5925925925925926	0.3006411382466058	4.0
1,5,8	endpoint	perturbation_label	0.1111111111111111	0.7407407407407407	0.39628996084675283	3.0
