aggregator	mode	split	stage	rows	dims	min_std	mean_std	rank	effective_rank	mean_norm	pairwise_cosine_mean	pairwise_cosine_std	collapse_flag	bio_latent_r2_from_train
mean	eval	val	rna_raw_cls	32	32	0.017414325977728008	0.060519363748651384	30	8.31958429527087	5.7618339728765084	0.9947237602192289	0.00612388964728808	False	-1.0193877737281647
mean	eval	val	image_raw_cls	32	32	0.00505296905189434	0.011393466159655845	25	9.747528968846593	5.749673174303445	0.9998508938174485	0.00010401313588204217	True	0.9178993333638471
mean	eval	val	rna_token_mean	32	32	0.0143804716501217	0.057406272204263684	31	6.846737270920654	2.480482689960634	0.9919133334192449	0.009240875875049617	False	0.10945819621986907
mean	eval	val	image_patch_mean	32	32	0.004760166204466638	0.020476459030996756	26	8.701298666718841	5.718791197113317	0.9994754154653469	0.0004247668552664191	True	0.9326145422970353
mean	eval	val	rna_projection_pre_norm	32	32	0.007653430900767364	0.039053857081002646	23	5.221392334015881	3.3286759958470844	0.9941973461177708	0.007031337363981539	True	-0.41919941693802265
mean	eval	val	image_projection_pre_norm	32	32	0.0023557109557913298	0.009175702461050806	15	5.643991581300265	3.8486581308594374	0.9997482541884514	0.00021969932505832963	True	0.8645881128814216
mean	eval	val	rna_projection_norm_instance_mean	32	32	0.0025156722671327973	0.011686523123401639	18	5.234727998769092	1.0000000017989035	0.9941973459343302	0.007031337731697778	True	-0.03448580516276456
mean	eval	val	image_projection_norm_instance_mean	32	32	0.0006337820473762902	0.002383311585203605	12	5.602834225734757	1.0000000011170316	0.99974825422183	0.00021969933508881036	True	0.7157611952190096
mean	eval	val	rna_shared	32	32	0.016147458922621087	0.06525772601432248	24	5.216061413183865	5.720377176768261	0.9944754009008336	0.006696098441126418	False	-0.6804982469029406
mean	eval	val	image_shared	32	32	0.0048110886491632135	0.013453975671377457	16	5.627201718373449	5.65898809354719	0.9997524392868726	0.00021338682579973725	True	0.8773170536878466
mean	eval	test	rna_raw_cls	32	32	0.016574043852266667	0.04696047477137961	30	10.423662837531053	5.762053905799524	0.997146029260866	0.0032014899009255977	False	-1.232777640292754
mean	eval	test	image_raw_cls	32	32	0.004439948734149952	0.01167131161332388	24	9.582242188373936	5.7496713932175965	0.9998442083593444	0.00010670235810347153	True	0.927379844706586
mean	eval	test	rna_token_mean	32	32	0.01139517606250221	0.0422718950562543	31	8.765806012918782	2.3964271141115803	0.994895626945968	0.005861593410953993	False	0.06632324152677083
