seed	policy	benchmark	representation	heldout_train_perturbation_id	rows	inner_transition	inner_delta_cosine	inner_recall_at_1	inner_delta_rank	inner_magnitude_ratio
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	8	9	-0.07345044234612984	-0.04391155459850387	1.0	6.951828020315783	0.7001243514841574
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	9	9	0.20169064592013905	0.973983273218599	1.0	7.094302564987354	1.0013956193644455
38	random_perturbation	synth_program_aligned_random_holdout_lite	true_z_bio	10	9	0.17674905147255218	0.9722897352654134	1.0	7.196883591330102	0.9542107619734644
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	2	9	0.253944525879934	0.9363918979205317	1.0	7.5834477889504335	1.0670803730478484
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	3	9	0.3114748136839812	0.8661338805790579	1.0	7.574359042215709	0.8403401245490677
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	5	9	0.6273988942277593	0.9529017454173062	1.0	7.578435184371762	0.9318092012204011
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	6	9	0.3743963267552832	0.9542456220397102	1.0	7.587727004244066	0.9299301950180693
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	7	9	0.1754660103504873	0.8589362795612918	1.0	7.528119472003045	1.0142259734538444
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	8	9	-0.06912746868412095	0.183103473667409	1.0	7.560706912689456	0.7446356272637866
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	9	9	0.5424356730642692	0.9306212378470156	1.0	7.6551797671853326	1.0166371819815117
38	random_perturbation	synth_program_aligned_random_holdout_lite	observed_rna_pca	10	9	0.32963852558440876	0.9498874004208631	1.0	7.580859688289781	0.9763224677475633
34	stratified_program	synth_program_aligned_stratified_holdout_lite	true_z_bio	1	9	0.24350151630052183	0.9699442112191556	1.0	6.447369605853686	0.9609187933519758
34	stratified_program	synth_program_aligned_stratified_holdout_lite	true_z_bio	2	9	0.22545366936515826	0.9635927582384929	1.0	6.46529009492752	0.951787681246945
34	stratified_program	synth_program_aligned_stratified_holdout_lite	true_z_bio	3	9	0.16886989713476383	0.9440626960689958	1.0	6.418508302564269	0.9443810610428138
34	stratified_program	synth_program_aligned_stratified_holdout_lite	true_z_bio	4	9	0.22568551979562126	0.9521115541013973	1.0	6.6477893815841185	0.9917918756162103
